"","L1","L2","L3","L4","L5"
"KO3390","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K02496 uroporphyrin-III C-methyltransferase [EC:2.1.1.107]"
"KO3391","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K03394 precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]"
"KO3392","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K03399 cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]"
"KO3393","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K03403 magnesium chelatase subunit H [EC:6.6.1.1]"
"KO3394","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K03404 magnesium chelatase subunit D [EC:6.6.1.1]"
"KO3395","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K03405 magnesium chelatase subunit I [EC:6.6.1.1]"
"KO3396","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K03428 magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]"
"KO3397","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K03594 bacterioferritin [EC:1.16.3.1]"
"KO3398","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K03794 sirohydrochlorin ferrochelatase [EC:4.99.1.4]"
"KO3399","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K03795 sirohydrochlorin cobaltochelatase [EC:4.99.1.3]"
"KO3400","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K04032 ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.17]"
"KO3401","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K04034 anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]"
"KO3402","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K04035 magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]"
"KO3403","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K04036 divinyl protochlorophyllide a 8-vinyl-reductase [EC:1.-.-.-]"
"KO3404","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K04037 light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]"
"KO3405","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K04038 light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7]"
"KO3406","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K04039 light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7]"
"KO3407","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K04040 chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]"
"KO3408","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K04720 threonine-phosphate decarboxylase [EC:4.1.1.81]"
"KO3409","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K05895 precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]"
"KO3410","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K05934 precorrin-3B C17-methyltransferase [EC:2.1.1.131]"
"KO3411","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K05936 precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]"
"KO3412","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K06042 precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]"
"KO3413","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K07145 heme oxygenase (staphylobilin-producing) [EC:1.14.99.48]"
"KO3414","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K07215 heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]"
"KO3415","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K08099 chlorophyllase [EC:3.1.1.14]"
"KO3416","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K08100 bilirubin oxidase [EC:1.3.3.5]"
"KO3417","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K08101 phytochromobilin:ferredoxin oxidoreductase [EC:1.3.7.4]"
"KO3418","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K08260 adenosylcobinamide hydrolase [EC:3.5.1.90]"
"KO3419","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K08973 protoporphyrinogen IX oxidase [EC:1.3.99.-]"
"KO3420","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K09882 cobaltochelatase CobS [EC:6.6.1.2]"
"KO3421","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K09883 cobaltochelatase CobT [EC:6.6.1.2]"
"KO3422","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K10960 geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]"
"KO3423","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K11333 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15]"
"KO3424","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K11334 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15]"
"KO3425","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K11335 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Z [EC:1.3.7.14 1.3.7.15]"
"KO3426","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K11336 3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165]"
"KO3427","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K11337 bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396]"
"KO3428","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13071 pheophorbide a oxygenase [EC:1.14.15.17]"
"KO3429","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13540 precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131]"
"KO3430","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13541 cobalt-precorrin 5A hydrolase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.131]"
"KO3431","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13542 uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]"
"KO3432","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13543 uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]"
"KO3433","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13545 red chlorophyll catabolite reductase [EC:1.3.7.12]"
"KO3434","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13600 chlorophyllide a oxygenase [EC:1.14.13.122]"
"KO3435","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13601 bacteriochlorophyllide d C-8(2)-methyltransferase [EC:2.1.1.332]"
"KO3436","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13606 chlorophyll(ide) b reductase [EC:1.1.1.294]"
"KO3437","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13624 ceruloplasmin [EC:1.16.3.1]"
"KO3438","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K13786 cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.-]"
"KO3439","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K14163 bifunctional glutamyl/prolyl-tRNA synthetase [EC:6.1.1.17 6.1.1.15]"
"KO3440","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K14735 hephaestin [EC:1.16.3.1]"
"KO3441","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K16651 L-threonine kinase [EC:2.7.1.177]"
"KO3442","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K18010 7-hydroxymethyl chlorophyll a reductase [EC:1.17.7.2]"
"KO3443","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K19054 frataxin [EC:1.16.3.1]"
"KO3444","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K19073 divinyl chlorophyllide a 8-vinyl-reductase [EC:1.3.1.75]"
"KO3445","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K19221 cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
"KO3446","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K19712 adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.7.62]"
"KO3447","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K21418 heme oxygenase 2 [EC:1.14.14.18]"
"KO3448","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K21479 cobalt-factor III methyltransferase [EC:2.1.1.272]"
"KO3449","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K21480 heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]"
"KO3450","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K21610 Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbC [EC:6.3.3.7]"
"KO3451","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K21611 Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbD [EC:6.3.3.7]"
"KO3452","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K21612 coenzyme F430 synthetase [EC:6.4.1.9]"
"KO3453","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K22011 sirohydrochlorin cobalto/nickelchelatase [EC:4.99.1.3 4.99.1.11]"
"KO3454","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K22012 Ni-sirohydrochlorin a,c-diamide synthase [EC:6.3.5.12]"
"KO3455","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K22013 magnesium dechelatase [EC:4.99.1.10]"
"KO3456","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K22225 siroheme decarboxylase [EC:4.1.1.111]"
"KO3457","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K22226 Fe-coproporphyrin III synthase"
"KO3458","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K22227 AdoMet-dependent heme synthase [EC:1.3.98.6]"
"KO3459","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K22316 ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73]"
"KO3460","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K22336 bacterioferritin B [EC:1.16.3.1]"
"KO3461","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K22552 multicopper oxidase [EC:1.16.3.1]"
"KO3462","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00860 Porphyrin and chlorophyll metabolism","K23825 F420H(2)-dependent biliverdin reductase [EC:1.3.98.-]"
"KO3463","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis",NA
"KO3464","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K00355 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"KO3465","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K00487 trans-cinnamate 4-monooxygenase [EC:1.14.14.91]"
"KO3466","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K00568 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]"
"KO3467","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K00591 polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]"
"KO3468","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K01075 4-hydroxybenzoyl-CoA thioesterase [EC:3.1.2.23]"
"KO3469","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K01661 naphthoate synthase [EC:4.1.3.36]"
"KO3470","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K01851 salicylate biosynthesis isochorismate synthase [EC:5.4.4.2]"
"KO3471","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K01904 4-coumarate--CoA ligase [EC:6.2.1.12]"
"KO3472","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K01911 o-succinylbenzoate---CoA ligase [EC:6.2.1.26]"
"KO3473","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K02361 isochorismate synthase [EC:5.4.4.2]"
"KO3474","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K02548 1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]"
"KO3475","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K02549 o-succinylbenzoate synthase [EC:4.2.1.113]"
"KO3476","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K02551 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]"
"KO3477","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K02552 menaquinone-specific isochorismate synthase [EC:5.4.4.2]"
"KO3478","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K03179 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]"
"KO3479","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K03181 chorismate lyase [EC:4.1.3.40]"
"KO3480","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K03182 4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]"
"KO3481","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K03183 demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"
"KO3482","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K03184 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]"
"KO3483","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K03185 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]"
"KO3484","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K03186 flavin prenyltransferase [EC:2.5.1.129]"
"KO3485","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K03809 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"KO3486","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K05357 vitamin-K-epoxide reductase (warfarin-sensitive) [EC:1.17.4.4]"
"KO3487","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K05928 tocopherol O-methyltransferase [EC:2.1.1.95]"
"KO3488","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K06125 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]"
"KO3489","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K06126 ubiquinone biosynthesis monooxygenase Coq6 [EC:1.14.13.-]"
"KO3490","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K06127 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.201]"
"KO3491","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K06134 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]"
"KO3492","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K08680 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [EC:4.2.99.20]"
"KO3493","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K09833 homogentisate phytyltransferase / homogentisate geranylgeranyltransferase [EC:2.5.1.115 2.5.1.116]"
"KO3494","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K09834 tocopherol cyclase [EC:5.5.1.24]"
"KO3495","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K10106 vitamin K-dependent gamma-carboxylase [EC:4.1.1.90]"
"KO3496","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K11782 chorismate dehydratase [EC:4.2.1.151]"
"KO3497","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K11783 futalosine hydrolase [EC:3.2.2.26]"
"KO3498","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K11784 cyclic dehypoxanthinyl futalosine synthase [EC:1.21.98.1]"
"KO3499","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K11785 1,4-dihydroxy-6-naphthoate synthase [EC:1.14.-.-]"
"KO3500","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K12073 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]"
"KO3501","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K12502 MPBQ/MSBQ methyltransferase [EC:2.1.1.295]"
"KO3502","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K14759 isochorismate synthase / 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase / 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase / o-succinylbenzoate synthase [EC:5.4.4.2 2.2.1.9 4.2.99.20 4.2.1.113]"
"KO3503","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K17872 demethylphylloquinone reductase [EC:1.6.5.12]"
"KO3504","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K18285 aminodeoxyfutalosine synthase [EC:2.5.1.120]"
"KO3505","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K18286 aminodeoxyfutalosine deaminase [EC:3.5.4.40]"
"KO3506","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K18534 MPBQ/MSBQ methyltransferase [EC:2.1.1.295]"
"KO3507","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K18800 2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]"
"KO3508","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K19222 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]"
"KO3509","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K19267 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"KO3510","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K20810 aminodeoxyfutalosine deaminase [EC:3.5.4.40]"
"KO3511","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K23094 2-carboxy-1,4-naphthoquinone phytyltransferase [EC:2.5.1.130]"
"KO3512","KEGG","Metabolism","Metabolism of cofactors and vitamins","ko00130 Ubiquinone and other terpenoid-quinone biosynthesis","K23095 demethylphylloquinol methyltransferase [EC:2.1.1.329]"
"KO3513","KEGG","Metabolism","Metabolism of terpenoids and polyketides",NA,NA
"KO3514","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis",NA
"KO3515","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00021 hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]"
"KO3516","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00054 hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]"
"KO3517","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00099 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"
"KO3518","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00587 protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]"
"KO3519","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00787 farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]"
"KO3520","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00795 farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]"
"KO3521","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00804 geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
"KO3522","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00805 heptaprenyl diphosphate synthase [EC:2.5.1.30]"
"KO3523","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00869 mevalonate kinase [EC:2.7.1.36]"
"KO3524","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00919 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]"
"KO3525","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00938 phosphomevalonate kinase [EC:2.7.4.2]"
"KO3526","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K00991 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]"
"KO3527","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K01597 diphosphomevalonate decarboxylase [EC:4.1.1.33]"
"KO3528","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K01770 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"
"KO3529","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K01823 isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]"
"KO3530","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K02523 octaprenyl-diphosphate synthase [EC:2.5.1.90]"
"KO3531","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K03526 (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]"
"KO3532","KEGG","Metabolism","Metabolism of terpenoids and polyketides","ko00900 Terpenoid backbone biosynthesis","K03527 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]"
